age,education,company_size,salary
22,middle,large,207.8
22,middle,middle,187.5
22,middle,small,196.5
27,middle,large,225.6
27,middle,middle,208.1
27,middle,small,219.5
32,middle,large,252.0
32,middle,middle,225.9
32,middle,small,236.9
37,middle,large,277.3
37,middle,middle,248.6
37,middle,small,253.9
42,middle,large,280.5
42,middle,middle,257.5
42,middle,small,275.6
47,middle,large,324.4
47,middle,middle,267.9
47,middle,small,281.0
52,middle,large,354.1
52,middle,middle,262.7
52,middle,small,279.7
57,middle,large,356.4
57,middle,middle,278.8
57,middle,small,274.2
62,middle,large,218.0
62,middle,middle,207.3
62,middle,small,244.2
67,middle,large,200.5
67,middle,middle,193.3
67,middle,small,214.4
22,high,large,203.3
22,high,middle,191.6
22,high,small,192.0
27,high,large,229.3
27,high,middle,211.0
27,high,small,212.5
32,high,large,253.2
32,high,middle,232.3
32,high,small,235.5
37,high,large,280.0
37,high,middle,249.4
37,high,small,254.0
42,high,large,309.2
42,high,middle,269.7
42,high,small,268.6
47,high,large,332.2
47,high,middle,283.0
47,high,small,277.4
52,high,large,363.0
52,high,middle,288.8
52,high,small,277.9
57,high,large,370.8
57,high,middle,288.6
57,high,small,274.9
62,high,large,249.4
62,high,middle,222.4
62,high,small,242.0
67,high,large,223.2
67,high,middle,201.5
67,high,small,221.2
22,tech,large,217.3
22,tech,middle,206.7
22,tech,small,197.9
27,tech,large,244.4
27,tech,middle,227.0
27,tech,small,219.2
32,tech,large,265.5
32,tech,middle,251.7
32,tech,small,241.8
37,tech,large,287.3
37,tech,middle,272.1
37,tech,small,261.3
42,tech,large,320.7
42,tech,middle,291.0
42,tech,small,278.6
47,tech,large,352.2
47,tech,middle,313.1
47,tech,small,292.6
52,tech,large,374.6
52,tech,middle,321.2
52,tech,small,295.8
57,tech,large,378.6
57,tech,middle,316.4
57,tech,small,290.2
62,tech,large,279.8
62,tech,middle,260.5
62,tech,small,268.3
67,tech,large,230.5
67,tech,middle,254.2
67,tech,small,255.0
22,university,large,232.1
22,university,middle,223.6
22,university,small,214.5
27,university,large,270.4
27,university,middle,248.9
27,university,small,235.4
32,university,large,330.5
32,university,middle,290.7
32,university,small,270.7
37,university,large,390.0
37,university,middle,334.9
37,university,small,309.3
42,university,large,446.8
42,university,middle,384.4
42,university,small,345.9
47,university,large,515.1
47,university,middle,434.9
47,university,small,370.5
52,university,large,568.2
52,university,middle,479.3
52,university,small,399.5
57,university,large,565.2
57,university,middle,482.0
57,university,small,390.5
62,university,large,399.8
62,university,middle,380.3
62,university,small,332.2
67,university,large,413.7
67,university,middle,398.2
67,university,small,309.8
